year,week,url
2014,19,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/19th_wk14.pdf
2014,20,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/20th_wk14.pdf
2014,21,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/21st_wk14.pdf
2014,22,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/22nd_wk14.pdf
2014,23,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/23rd_wk14.pdf
2014,24,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/24th_wk14.pdf
2014,25,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/25th_wk14.pdf
2014,26,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/26th_wk14.pdf
2014,27,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/27th_wk14.pdf
2014,28,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/28th_wk14.pdf
2014,29,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/29th_wk14.pdf
2014,30,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/30th_wk14.pdf
2014,31,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/31st_wk14.pdf
2014,32,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/32nd_wk14.pdf
2014,33,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/33rd_wk14.pdf
2014,34,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/34th_wk14.pdf
2014,35,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/35th_wk14.pdf
2014,36,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/36th_wk14.pdf
2014,37,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/37th_wk14.pdf
2014,38,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/38th_wk14.pdf
2014,39,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/39th_wk14.pdf
2014,40,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/40th_wk14.pdf
2014,41,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/41st_wk14.pdf
2014,42,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/42nd_wk14.pdf
2014,43,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/43rd_wk14.pdf
2014,44,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/44th_wk14.pdf
2014,45,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/45th_wk14.pdf
2014,46,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/46th_wk14.pdf
2014,47,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/47th_wk14.pdf
2014,48,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/48th_wk14.pdf
2014,49,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/49th_wk14.pdf
2014,50,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/50th_wk14.pdf
2014,51,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/51st_wk14.pdf
2014,52,https://idsp.mohfw.gov.in/WriteReadData/DOB2014/52nd_wk14.pdf
2015,1,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/1st_wk15.pdf
2015,2,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/2nd_wk15.pdf
2015,3,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/3rd_wk15.pdf
2015,4,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/4th_wk15.pdf
2015,5,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/5th_wk15.pdf
2015,6,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/6th_wk15.pdf
2015,7,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/7th_wk15.pdf
2015,8,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/8th_wk15.pdf
2015,9,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/9th_wk15.pdf
2015,10,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/10th_wk15.pdf
2015,11,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/11th_wk15.pdf
2015,12,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/12th_wk15.pdf
2015,13,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/13th_wk15.pdf
2015,14,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/14th_wk15.pdf
2015,15,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/15th_wk15.pdf
2015,16,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/16th_wk15.pdf
2015,17,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/17th_wk15.pdf
2015,18,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/18th_wk15.pdf
2015,19,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/19th_wk15.pdf
2015,20,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/20th_wk15.pdf
2015,21,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/21st_wk15.pdf
2015,22,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/22nd_wk15.pdf
2015,23,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/23rd_wk15.pdf
2015,24,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/24th_wk15.pdf
2015,25,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/25th_wk15.pdf
2015,26,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/26th_wk15.pdf
2015,27,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/27th_wk15.pdf
2015,28,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/28th_wk15.pdf
2015,29,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/29th_wk15.pdf
2015,30,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/30th_wk15.pdf
2015,31,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/31st_wk15.pdf
2015,32,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/32nd_wk15.pdf
2015,33,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/33rd_wk15.pdf
2015,34,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/34th_wk15.pdf
2015,35,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/35th_wk15.pdf
2015,36,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/36th_wk15.pdf
2015,37,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/37th_wk15.pdf
2015,38,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/38th_wk15.pdf
2015,39,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/39th_wk15.pdf
2015,40,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/40th_wk15.pdf
2015,41,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/41st_wk15.pdf
2015,42,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/42nd_wk15.pdf
2015,43,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/43rd_wk15.pdf
2015,44,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/44th_wk15.pdf
2015,45,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/45th_wk15.pdf
2015,46,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/46th_wk15.pdf
2015,47,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/47th_wk15.pdf
2015,48,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/48th_wk15.pdf
2015,49,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/49th_wk15.pdf
2015,50,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/50th_wk15.pdf
2015,51,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/51st_wk15.pdf
2015,52,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/52nd_wk15.pdf
2015,53,https://idsp.mohfw.gov.in/WriteReadData/DOB2015/53rd_wk15.pdf
2016,1,https://idsp.mohfw.gov.in/WriteReadData/l892s/90928316461465987313.pdf
2016,2,https://idsp.mohfw.gov.in/WriteReadData/l892s/6606507871465987350.pdf
2016,3,https://idsp.mohfw.gov.in/WriteReadData/l892s/2609129231465987381.pdf
2016,4,https://idsp.mohfw.gov.in/WriteReadData/l892s/27847935961465987415.pdf
2016,5,https://idsp.mohfw.gov.in/WriteReadData/l892s/44784235121465987444.pdf
2016,6,https://idsp.mohfw.gov.in/WriteReadData/l892s/70863384721465987475.pdf
2016,7,https://idsp.mohfw.gov.in/WriteReadData/l892s/1544826741465987503.pdf
2016,8,https://idsp.mohfw.gov.in/WriteReadData/l892s/68623290411465987526.pdf
2016,9,https://idsp.mohfw.gov.in/WriteReadData/DOB2016/9th_wk16.pdf
2016,10,https://idsp.mohfw.gov.in/WriteReadData/DOB2016/10th_wk16.pdf
2016,11,https://idsp.mohfw.gov.in/WriteReadData/DOB2016/11th_wk16.pdf
2016,12,https://idsp.mohfw.gov.in/WriteReadData/DOB2016/12th_wk16.pdf
2016,13,https://idsp.mohfw.gov.in/WriteReadData/DOB2016/13th_wk16.pdf
2016,14,https://idsp.mohfw.gov.in/WriteReadData/DOB2016/rcntobrk.pdf
2016,16,https://idsp.mohfw.gov.in/WriteReadData/l892s/99240760141465983634.pdf
2016,17,https://idsp.mohfw.gov.in/WriteReadData/l892s/99171777471465983686.pdf
