date,state,disease,total_cases,total_deaths
2019-10-14,Andaman And Nicobar Islands,Acute Diarrhoeal Disease,30,0
2022-09-19,Andaman And Nicobar Islands,Acute Diarrhoeal Disease,23,0
2023-08-14,Andaman And Nicobar Islands,Acute Diarrhoeal Disease,18,0
2024-06-03,Andaman And Nicobar Islands,Acute Diarrhoeal Disease,76,0
2024-08-19,Andaman And Nicobar Islands,Chickenpox,7,0
2024-10-07,Andaman And Nicobar Islands,Fever With Rash,8,0
2025-05-05,Andaman And Nicobar Islands,Food Poisoning,5,0
2025-07-14,Andaman And Nicobar Islands,Gastroenteritis,30,0
2013-02-25,Andhra Pradesh,Acute Diarrhoeal Disease,29,0
2013-03-25,Andhra Pradesh,Acute Diarrhoeal Disease,21,0
2013-05-27,Andhra Pradesh,Acute Diarrhoeal Disease,97,0
2013-06-10,Andhra Pradesh,Acute Diarrhoeal Disease,59,0
2013-07-01,Andhra Pradesh,Acute Diarrhoeal Disease,48,2
2013-07-22,Andhra Pradesh,Acute Diarrhoeal Disease,50,1
2013-07-29,Andhra Pradesh,Acute Diarrhoeal Disease,99,0
2013-08-12,Andhra Pradesh,Acute Diarrhoeal Disease,34,2
2013-10-07,Andhra Pradesh,Acute Diarrhoeal Disease,11,2
2013-11-18,Andhra Pradesh,Acute Diarrhoeal Disease,30,0
2013-11-25,Andhra Pradesh,Acute Diarrhoeal Disease,39,2
2013-12-02,Andhra Pradesh,Acute Diarrhoeal Disease,26,2
2014-04-21,Andhra Pradesh,Acute Diarrhoeal Disease,14,2
2014-06-23,Andhra Pradesh,Acute Diarrhoeal Disease,19,0
2014-06-30,Andhra Pradesh,Acute Diarrhoeal Disease,12,0
2014-08-04,Andhra Pradesh,Acute Diarrhoeal Disease,14,0
2014-09-29,Andhra Pradesh,Acute Diarrhoeal Disease,14,0
2014-12-08,Andhra Pradesh,Acute Diarrhoeal Disease,22,2
2014-12-15,Andhra Pradesh,Acute Diarrhoeal Disease,25,0
2015-02-23,Andhra Pradesh,Acute Diarrhoeal Disease,22,0
2015-04-13,Andhra Pradesh,Acute Diarrhoeal Disease,100,0
2015-05-18,Andhra Pradesh,Acute Diarrhoeal Disease,23,0
2015-05-25,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2015-06-01,Andhra Pradesh,Acute Diarrhoeal Disease,16,0
2015-06-08,Andhra Pradesh,Acute Diarrhoeal Disease,16,0
2015-06-15,Andhra Pradesh,Acute Diarrhoeal Disease,15,0
2015-06-22,Andhra Pradesh,Acute Diarrhoeal Disease,71,0
2015-07-13,Andhra Pradesh,Acute Diarrhoeal Disease,101,0
2015-08-03,Andhra Pradesh,Acute Diarrhoeal Disease,26,0
2015-08-24,Andhra Pradesh,Acute Diarrhoeal Disease,35,0
2015-08-31,Andhra Pradesh,Acute Diarrhoeal Disease,23,0
2015-09-21,Andhra Pradesh,Acute Diarrhoeal Disease,63,0
2015-10-05,Andhra Pradesh,Acute Diarrhoeal Disease,54,0
2015-10-12,Andhra Pradesh,Acute Diarrhoeal Disease,182,0
2015-10-26,Andhra Pradesh,Acute Diarrhoeal Disease,63,0
2015-11-16,Andhra Pradesh,Acute Diarrhoeal Disease,25,0
2015-12-14,Andhra Pradesh,Acute Diarrhoeal Disease,14,0
2015-12-21,Andhra Pradesh,Acute Diarrhoeal Disease,14,0
2016-01-04,Andhra Pradesh,Acute Diarrhoeal Disease,20,0
2016-01-25,Andhra Pradesh,Acute Diarrhoeal Disease,52,0
2016-02-15,Andhra Pradesh,Acute Diarrhoeal Disease,11,0
2016-03-07,Andhra Pradesh,Acute Diarrhoeal Disease,10,0
2016-05-23,Andhra Pradesh,Acute Diarrhoeal Disease,31,0
2016-05-30,Andhra Pradesh,Acute Diarrhoeal Disease,11,0
2016-06-06,Andhra Pradesh,Acute Diarrhoeal Disease,34,0
2016-06-13,Andhra Pradesh,Acute Diarrhoeal Disease,14,0
2016-06-20,Andhra Pradesh,Acute Diarrhoeal Disease,106,0
2016-06-27,Andhra Pradesh,Acute Diarrhoeal Disease,75,1
2016-07-04,Andhra Pradesh,Acute Diarrhoeal Disease,13,0
2016-07-11,Andhra Pradesh,Acute Diarrhoeal Disease,65,2
2016-07-18,Andhra Pradesh,Acute Diarrhoeal Disease,42,0
2016-08-01,Andhra Pradesh,Acute Diarrhoeal Disease,25,0
2016-08-08,Andhra Pradesh,Acute Diarrhoeal Disease,32,0
2016-08-15,Andhra Pradesh,Acute Diarrhoeal Disease,14,0
2016-09-05,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2016-12-12,Andhra Pradesh,Acute Diarrhoeal Disease,38,0
2017-01-02,Andhra Pradesh,Acute Diarrhoeal Disease,15,0
2017-04-03,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2017-05-08,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2017-05-22,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2017-06-12,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2017-09-04,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2017-10-09,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2018-01-01,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2018-01-29,Andhra Pradesh,Acute Diarrhoeal Disease,0,2
2018-02-05,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2018-02-12,Andhra Pradesh,Acute Diarrhoeal Disease,42,0
2018-02-19,Andhra Pradesh,Acute Diarrhoeal Disease,27,0
2018-02-26,Andhra Pradesh,Acute Diarrhoeal Disease,168,0
2018-03-26,Andhra Pradesh,Acute Diarrhoeal Disease,46,0
2018-04-02,Andhra Pradesh,Acute Diarrhoeal Disease,28,0
2018-04-09,Andhra Pradesh,Acute Diarrhoeal Disease,19,0
2018-06-11,Andhra Pradesh,Acute Diarrhoeal Disease,53,0
2018-09-17,Andhra Pradesh,Acute Diarrhoeal Disease,35,0
2018-11-05,Andhra Pradesh,Acute Diarrhoeal Disease,36,0
2018-12-03,Andhra Pradesh,Acute Diarrhoeal Disease,39,0
2019-03-04,Andhra Pradesh,Acute Diarrhoeal Disease,133,0
2019-04-22,Andhra Pradesh,Acute Diarrhoeal Disease,42,0
2019-05-20,Andhra Pradesh,Acute Diarrhoeal Disease,39,2
2019-06-24,Andhra Pradesh,Acute Diarrhoeal Disease,35,0
2019-07-08,Andhra Pradesh,Acute Diarrhoeal Disease,296,0
2019-09-30,Andhra Pradesh,Acute Diarrhoeal Disease,38,0
2019-10-28,Andhra Pradesh,Acute Diarrhoeal Disease,91,0
2019-12-16,Andhra Pradesh,Acute Diarrhoeal Disease,60,0
2020-02-03,Andhra Pradesh,Acute Diarrhoeal Disease,13,0
2020-07-13,Andhra Pradesh,Acute Diarrhoeal Disease,99,0
2021-07-19,Andhra Pradesh,Acute Diarrhoeal Disease,41,3
2022-05-02,Andhra Pradesh,Acute Diarrhoeal Disease,30,0
2022-05-30,Andhra Pradesh,Acute Diarrhoeal Disease,21,2
2022-06-06,Andhra Pradesh,Acute Diarrhoeal Disease,10,0
2022-10-17,Andhra Pradesh,Acute Diarrhoeal Disease,32,0
2022-10-24,Andhra Pradesh,Acute Diarrhoeal Disease,5,0
2023-03-20,Andhra Pradesh,Acute Diarrhoeal Disease,22,0
2023-05-22,Andhra Pradesh,Acute Diarrhoeal Disease,32,1
2023-06-12,Andhra Pradesh,Acute Diarrhoeal Disease,23,0
2023-06-26,Andhra Pradesh,Acute Diarrhoeal Disease,31,0
2023-07-17,Andhra Pradesh,Acute Diarrhoeal Disease,27,0
2023-08-14,Andhra Pradesh,Acute Diarrhoeal Disease,93,0
2023-08-28,Andhra Pradesh,Acute Diarrhoeal Disease,27,0
2023-09-04,Andhra Pradesh,Acute Diarrhoeal Disease,127,0
2023-09-18,Andhra Pradesh,Acute Diarrhoeal Disease,143,0
2023-10-23,Andhra Pradesh,Acute Diarrhoeal Disease,38,0
2023-11-06,Andhra Pradesh,Acute Diarrhoeal Disease,36,0
2023-11-27,Andhra Pradesh,Acute Diarrhoeal Disease,97,0
2024-01-01,Andhra Pradesh,Acute Diarrhoeal Disease,30,0
2024-02-26,Andhra Pradesh,Acute Diarrhoeal Disease,22,0
2024-03-11,Andhra Pradesh,Acute Diarrhoeal Disease,216,1
2024-03-25,Andhra Pradesh,Acute Diarrhoeal Disease,23,0
2024-04-08,Andhra Pradesh,Acute Diarrhoeal Disease,230,0
2024-04-15,Andhra Pradesh,Acute Diarrhoeal Disease,46,0
2024-04-29,Andhra Pradesh,Acute Diarrhoeal Disease,15,0
2024-05-06,Andhra Pradesh,Acute Diarrhoeal Disease,48,0
2024-05-20,Andhra Pradesh,Acute Diarrhoeal Disease,83,1
2024-05-27,Andhra Pradesh,Acute Diarrhoeal Disease,18,0
2024-06-10,Andhra Pradesh,Acute Diarrhoeal Disease,72,0
2024-06-17,Andhra Pradesh,Acute Diarrhoeal Disease,34,0
2024-06-24,Andhra Pradesh,Acute Diarrhoeal Disease,98,0
2024-07-08,Andhra Pradesh,Acute Diarrhoeal Disease,59,0
2024-07-15,Andhra Pradesh,Acute Diarrhoeal Disease,64,0
2024-08-05,Andhra Pradesh,Acute Diarrhoeal Disease,145,3
2024-08-19,Andhra Pradesh,Acute Diarrhoeal Disease,200,0
2024-08-26,Andhra Pradesh,Acute Diarrhoeal Disease,58,0
2024-09-02,Andhra Pradesh,Acute Diarrhoeal Disease,75,0
2024-09-09,Andhra Pradesh,Acute Diarrhoeal Disease,81,0
2024-09-16,Andhra Pradesh,Acute Diarrhoeal Disease,75,0
2024-09-30,Andhra Pradesh,Acute Diarrhoeal Disease,32,0
2024-10-07,Andhra Pradesh,Acute Diarrhoeal Disease,11,0
2024-10-14,Andhra Pradesh,Acute Diarrhoeal Disease,8,0
2024-10-21,Andhra Pradesh,Acute Diarrhoeal Disease,72,0
2024-11-18,Andhra Pradesh,Acute Diarrhoeal Disease,42,0
2024-11-25,Andhra Pradesh,Acute Diarrhoeal Disease,48,0
2024-12-09,Andhra Pradesh,Acute Diarrhoeal Disease,33,0
2024-12-23,Andhra Pradesh,Acute Diarrhoeal Disease,84,0
2025-01-13,Andhra Pradesh,Acute Diarrhoeal Disease,22,0
2025-01-27,Andhra Pradesh,Acute Diarrhoeal Disease,15,0
2025-02-17,Andhra Pradesh,Acute Diarrhoeal Disease,41,0
2025-03-10,Andhra Pradesh,Acute Diarrhoeal Disease,19,2
2025-03-17,Andhra Pradesh,Acute Diarrhoeal Disease,19,0
2025-04-21,Andhra Pradesh,Acute Diarrhoeal Disease,22,0
2025-05-12,Andhra Pradesh,Acute Diarrhoeal Disease,33,0
2025-06-30,Andhra Pradesh,Acute Diarrhoeal Disease,64,0
2025-07-07,Andhra Pradesh,Acute Diarrhoeal Disease,11,0
2025-07-14,Andhra Pradesh,Acute Diarrhoeal Disease,5,0
2025-07-21,Andhra Pradesh,Acute Diarrhoeal Disease,22,0
2025-08-04,Andhra Pradesh,Acute Diarrhoeal Disease,54,0
2025-08-18,Andhra Pradesh,Acute Diarrhoeal Disease,8,0
2025-09-15,Andhra Pradesh,Acute Diarrhoeal Disease,50,0
2025-10-20,Andhra Pradesh,Acute Diarrhoeal Disease,9,0
2025-11-10,Andhra Pradesh,Acute Diarrhoeal Disease,457,0
2025-11-24,Andhra Pradesh,Acute Diarrhoeal Disease,13,0
2013-01-14,Andhra Pradesh,Acute Febrile Illness,20,0
2013-02-25,Andhra Pradesh,Acute Febrile Illness,15,0
2013-03-18,Andhra Pradesh,Acute Febrile Illness,79,0
2013-05-06,Andhra Pradesh,Acute Febrile Illness,15,0
2013-05-20,Andhra Pradesh,Acute Febrile Illness,53,3
2013-06-24,Andhra Pradesh,Acute Febrile Illness,82,0
2013-08-05,Andhra Pradesh,Acute Febrile Illness,24,0
2013-09-02,Andhra Pradesh,Acute Febrile Illness,14,0
2013-09-23,Andhra Pradesh,Acute Febrile Illness,19,0
2013-10-21,Andhra Pradesh,Acute Febrile Illness,32,0
2014-05-12,Andhra Pradesh,Acute Febrile Illness,12,0
2014-06-02,Andhra Pradesh,Acute Febrile Illness,0,0
2014-10-13,Andhra Pradesh,Acute Febrile Illness,33,0
2014-10-20,Andhra Pradesh,Acute Febrile Illness,21,0
2014-11-03,Andhra Pradesh,Acute Febrile Illness,24,0
2015-03-02,Andhra Pradesh,Acute Febrile Illness,0,0
2015-06-08,Andhra Pradesh,Acute Febrile Illness,30,0
2015-08-24,Andhra Pradesh,Acute Febrile Illness,22,0
2016-03-21,Andhra Pradesh,Acute Febrile Illness,0,0
2016-10-24,Andhra Pradesh,Acute Febrile Illness,21,0
2017-05-22,Andhra Pradesh,Acute Febrile Illness,28,0
2017-07-17,Andhra Pradesh,Acute Febrile Illness,0,0
2017-09-25,Andhra Pradesh,Acute Febrile Illness,0,0
2024-04-01,Andhra Pradesh,Acute Febrile Illness,58,0
2025-10-27,Andhra Pradesh,Acute Febrile Illness,20,0
2013-09-02,Andhra Pradesh,Anthrax,4,0
2016-04-25,Andhra Pradesh,Anthrax,16,0
2017-06-26,Andhra Pradesh,Anthrax,0,0
2017-09-04,Andhra Pradesh,Anthrax,0,0
2017-10-09,Andhra Pradesh,Anthrax,0,0
2017-12-25,Andhra Pradesh,Anthrax,7,0
2018-02-05,Andhra Pradesh,Anthrax,0,0
2018-04-09,Andhra Pradesh,Anthrax,4,0
2018-04-23,Andhra Pradesh,Anthrax,19,0
2019-07-08,Andhra Pradesh,Anthrax,2,0
2015-08-17,Andhra Pradesh,Chickenpox,6,0
2017-01-16,Andhra Pradesh,Chickenpox,21,0
2018-03-26,Andhra Pradesh,Chickenpox,16,0
2013-01-21,Andhra Pradesh,Chikungunya,31,0
2013-03-04,Andhra Pradesh,Chikungunya,15,0
2013-03-18,Andhra Pradesh,Chikungunya,12,0
2013-04-08,Andhra Pradesh,Chikungunya,23,0
2013-04-15,Andhra Pradesh,Chikungunya,18,0
2013-07-15,Andhra Pradesh,Chikungunya,45,0
2013-11-04,Andhra Pradesh,Chikungunya,10,0
2013-12-23,Andhra Pradesh,Chikungunya,20,0
2014-02-17,Andhra Pradesh,Chikungunya,31,0
2014-08-25,Andhra Pradesh,Chikungunya,23,0
2017-03-13,Andhra Pradesh,Chikungunya,32,0
2025-05-26,Andhra Pradesh,Chikungunya,10,0
2025-09-29,Andhra Pradesh,Chikungunya,28,0
2013-08-26,Andhra Pradesh,Cholera,93,3
2013-09-02,Andhra Pradesh,Cholera,0,0
2024-05-27,Andhra Pradesh,Cholera,77,0
2024-06-10,Andhra Pradesh,Cholera,86,0
2024-07-22,Andhra Pradesh,Cholera,177,0
2024-08-05,Andhra Pradesh,Cholera,71,0
2024-09-09,Andhra Pradesh,Cholera,63,0
2024-09-23,Andhra Pradesh,Cholera,80,0
2024-10-21,Andhra Pradesh,Cholera,201,4
2024-11-04,Andhra Pradesh,Cholera,31,0
2025-03-31,Andhra Pradesh,Cholera,18,0
2025-09-15,Andhra Pradesh,Cholera,358,0
2013-04-22,Andhra Pradesh,Dengue,18,0
2014-05-26,Andhra Pradesh,Dengue,15,0
2015-03-16,Andhra Pradesh,Dengue,42,0
2015-07-20,Andhra Pradesh,Dengue,140,0
2015-08-24,Andhra Pradesh,Dengue,13,0
2016-07-18,Andhra Pradesh,Dengue,22,0
2016-09-19,Andhra Pradesh,Dengue,50,0
2017-03-20,Andhra Pradesh,Dengue,0,0
2017-05-15,Andhra Pradesh,Dengue,0,0
2018-05-21,Andhra Pradesh,Dengue,35,0
2019-06-17,Andhra Pradesh,Dengue,14,0
2019-07-08,Andhra Pradesh,Dengue,6,0
2022-08-22,Andhra Pradesh,Dengue,4,0
2017-01-02,Andhra Pradesh,Fever With Rash,22,0
2025-02-03,Andhra Pradesh,Fever With Rash,15,0
2013-01-07,Andhra Pradesh,Food Poisoning,13,0
2013-02-04,Andhra Pradesh,Food Poisoning,26,0
2013-02-11,Andhra Pradesh,Food Poisoning,45,1
2013-02-18,Andhra Pradesh,Food Poisoning,38,0
2013-03-11,Andhra Pradesh,Food Poisoning,15,1
2013-04-01,Andhra Pradesh,Food Poisoning,608,0
2013-04-22,Andhra Pradesh,Food Poisoning,36,0
2013-04-29,Andhra Pradesh,Food Poisoning,10,0
2013-05-20,Andhra Pradesh,Food Poisoning,124,0
2013-07-15,Andhra Pradesh,Food Poisoning,23,1
2013-08-19,Andhra Pradesh,Food Poisoning,38,0
2013-09-16,Andhra Pradesh,Food Poisoning,15,0
2013-09-30,Andhra Pradesh,Food Poisoning,12,0
2013-11-11,Andhra Pradesh,Food Poisoning,23,0
2013-12-09,Andhra Pradesh,Food Poisoning,40,1
2013-12-23,Andhra Pradesh,Food Poisoning,94,0
2013-12-30,Andhra Pradesh,Food Poisoning,133,0
2014-01-13,Andhra Pradesh,Food Poisoning,37,0
2014-01-27,Andhra Pradesh,Food Poisoning,29,0
2014-02-03,Andhra Pradesh,Food Poisoning,28,0
2014-03-10,Andhra Pradesh,Food Poisoning,498,0
2014-03-17,Andhra Pradesh,Food Poisoning,27,0
2014-03-31,Andhra Pradesh,Food Poisoning,88,0
2014-04-07,Andhra Pradesh,Food Poisoning,9,1
2014-04-14,Andhra Pradesh,Food Poisoning,350,0
2014-05-26,Andhra Pradesh,Food Poisoning,30,0
2014-06-09,Andhra Pradesh,Food Poisoning,46,0
2014-07-07,Andhra Pradesh,Food Poisoning,57,0
2014-07-21,Andhra Pradesh,Food Poisoning,48,0
2014-07-28,Andhra Pradesh,Food Poisoning,21,0
2014-08-04,Andhra Pradesh,Food Poisoning,52,0
2014-08-11,Andhra Pradesh,Food Poisoning,14,0
2014-08-18,Andhra Pradesh,Food Poisoning,15,0
2014-09-08,Andhra Pradesh,Food Poisoning,44,0
2014-09-22,Andhra Pradesh,Food Poisoning,30,0
2014-11-17,Andhra Pradesh,Food Poisoning,25,0
2014-12-01,Andhra Pradesh,Food Poisoning,36,0
2014-12-22,Andhra Pradesh,Food Poisoning,110,0
2014-12-29,Andhra Pradesh,Food Poisoning,34,0
2015-01-12,Andhra Pradesh,Food Poisoning,40,0
2015-02-09,Andhra Pradesh,Food Poisoning,0,0
2015-03-09,Andhra Pradesh,Food Poisoning,72,0
2015-03-16,Andhra Pradesh,Food Poisoning,35,0
2015-03-23,Andhra Pradesh,Food Poisoning,27,0
2015-03-30,Andhra Pradesh,Food Poisoning,39,0
2015-07-06,Andhra Pradesh,Food Poisoning,127,0
2015-07-20,Andhra Pradesh,Food Poisoning,33,0
2015-07-27,Andhra Pradesh,Food Poisoning,73,0
2015-12-21,Andhra Pradesh,Food Poisoning,39,0
2016-01-04,Andhra Pradesh,Food Poisoning,28,0
2016-01-25,Andhra Pradesh,Food Poisoning,19,0
2016-02-29,Andhra Pradesh,Food Poisoning,0,0
2016-04-18,Andhra Pradesh,Food Poisoning,109,0
2016-04-25,Andhra Pradesh,Food Poisoning,132,0
2016-05-09,Andhra Pradesh,Food Poisoning,12,0
2016-05-16,Andhra Pradesh,Food Poisoning,14,2
2016-05-23,Andhra Pradesh,Food Poisoning,65,0
2016-06-06,Andhra Pradesh,Food Poisoning,21,0
2016-06-13,Andhra Pradesh,Food Poisoning,19,0
2016-06-20,Andhra Pradesh,Food Poisoning,26,0
2016-06-27,Andhra Pradesh,Food Poisoning,26,0
2016-07-11,Andhra Pradesh,Food Poisoning,28,0
2016-07-25,Andhra Pradesh,Food Poisoning,15,2
2016-12-05,Andhra Pradesh,Food Poisoning,21,0
2017-01-02,Andhra Pradesh,Food Poisoning,13,0
2017-01-16,Andhra Pradesh,Food Poisoning,45,0
2017-02-06,Andhra Pradesh,Food Poisoning,25,0
2017-03-06,Andhra Pradesh,Food Poisoning,61,0
2017-04-03,Andhra Pradesh,Food Poisoning,0,0
2017-04-17,Andhra Pradesh,Food Poisoning,0,0
2017-05-01,Andhra Pradesh,Food Poisoning,0,0
2017-05-08,Andhra Pradesh,Food Poisoning,0,0
2017-10-30,Andhra Pradesh,Food Poisoning,0,0
2018-01-15,Andhra Pradesh,Food Poisoning,0,0
2018-02-26,Andhra Pradesh,Food Poisoning,84,0
2018-03-05,Andhra Pradesh,Food Poisoning,60,0
2018-03-12,Andhra Pradesh,Food Poisoning,56,1
2018-04-02,Andhra Pradesh,Food Poisoning,162,0
2018-06-18,Andhra Pradesh,Food Poisoning,81,0
2018-07-23,Andhra Pradesh,Food Poisoning,21,0
2018-09-17,Andhra Pradesh,Food Poisoning,56,0
2019-02-18,Andhra Pradesh,Food Poisoning,30,0
2019-05-20,Andhra Pradesh,Food Poisoning,9,0
2019-06-03,Andhra Pradesh,Food Poisoning,9,0
2019-07-15,Andhra Pradesh,Food Poisoning,64,0
2019-07-29,Andhra Pradesh,Food Poisoning,17,0
2019-08-26,Andhra Pradesh,Food Poisoning,73,0
2019-09-23,Andhra Pradesh,Food Poisoning,70,0
2019-11-25,Andhra Pradesh,Food Poisoning,58,0
2020-01-06,Andhra Pradesh,Food Poisoning,47,0
2020-02-10,Andhra Pradesh,Food Poisoning,25,0
2020-06-08,Andhra Pradesh,Food Poisoning,44,1
2021-01-04,Andhra Pradesh,Food Poisoning,13,0
2021-02-08,Andhra Pradesh,Food Poisoning,53,0
2021-03-15,Andhra Pradesh,Food Poisoning,5,0
2021-06-28,Andhra Pradesh,Food Poisoning,18,0
2022-05-30,Andhra Pradesh,Food Poisoning,13,2
2023-03-20,Andhra Pradesh,Food Poisoning,37,0
2023-10-16,Andhra Pradesh,Food Poisoning,13,0
2024-02-19,Andhra Pradesh,Food Poisoning,52,0
2024-03-25,Andhra Pradesh,Food Poisoning,12,0
2024-06-03,Andhra Pradesh,Food Poisoning,23,0
2024-06-17,Andhra Pradesh,Food Poisoning,111,0
2024-07-15,Andhra Pradesh,Food Poisoning,135,0
2024-08-19,Andhra Pradesh,Food Poisoning,81,3
2024-08-26,Andhra Pradesh,Food Poisoning,106,0
2024-09-02,Andhra Pradesh,Food Poisoning,61,0
2024-09-09,Andhra Pradesh,Food Poisoning,64,0
2024-09-30,Andhra Pradesh,Food Poisoning,13,0
2024-11-11,Andhra Pradesh,Food Poisoning,72,0
2024-11-18,Andhra Pradesh,Food Poisoning,17,0
2024-12-09,Andhra Pradesh,Food Poisoning,8,0
2025-01-13,Andhra Pradesh,Food Poisoning,23,0
2025-02-24,Andhra Pradesh,Food Poisoning,27,0
2025-03-10,Andhra Pradesh,Food Poisoning,14,0
2025-04-21,Andhra Pradesh,Food Poisoning,23,0
2025-06-23,Andhra Pradesh,Food Poisoning,12,0
2025-06-30,Andhra Pradesh,Food Poisoning,61,0
2025-07-28,Andhra Pradesh,Food Poisoning,33,0
2025-08-04,Andhra Pradesh,Food Poisoning,20,0
2025-09-01,Andhra Pradesh,Food Poisoning,45,0
2025-09-22,Andhra Pradesh,Food Poisoning,16,0
2025-11-03,Andhra Pradesh,Food Poisoning,14,0
2025-12-01,Andhra Pradesh,Food Poisoning,27,0
2025-12-08,Andhra Pradesh,Food Poisoning,35,0
2025-12-15,Andhra Pradesh,Food Poisoning,102,0
2025-11-17,Andhra Pradesh,Gastroenteritis,58,0
2025-04-14,Andhra Pradesh,Hepatitis B,306,0
2014-09-29,Andhra Pradesh,Malaria,31,0
2015-08-24,Andhra Pradesh,Malaria,11,0
2024-06-10,Andhra Pradesh,Malaria,39,0
2017-11-20,Andhra Pradesh,Mumps,0,0
2025-03-03,Andhra Pradesh,Mumps,30,0
2022-10-31,Andhra Pradesh,Scrub Typhus,14,0
2014-03-24,Andhra Pradesh,Typhoid Fever,33,0
2015-08-24,Andhra Pradesh,Typhoid Fever,45,0
2024-07-22,Andhra Pradesh,Typhoid Fever,38,0
2013-03-25,Andhra Pradesh,Viral Hepatitis,24,0
2025-10-13,Andhra Pradesh,Viral Hepatitis,0,0
2013-02-04,Arunachal Pradesh,Acute Diarrhoeal Disease,29,2
2013-02-18,Arunachal Pradesh,Acute Diarrhoeal Disease,40,2
2013-07-22,Arunachal Pradesh,Acute Diarrhoeal Disease,200,2
2014-08-11,Arunachal Pradesh,Acute Diarrhoeal Disease,68,0
2015-05-18,Arunachal Pradesh,Acute Diarrhoeal Disease,20,0
2015-11-16,Arunachal Pradesh,Acute Diarrhoeal Disease,27,0
2017-08-14,Arunachal Pradesh,Acute Diarrhoeal Disease,112,1
2018-02-05,Arunachal Pradesh,Acute Diarrhoeal Disease,0,0
2018-03-26,Arunachal Pradesh,Acute Diarrhoeal Disease,30,0
2019-06-10,Arunachal Pradesh,Acute Diarrhoeal Disease,27,0
2019-08-26,Arunachal Pradesh,Acute Diarrhoeal Disease,45,1
2019-09-16,Arunachal Pradesh,Acute Diarrhoeal Disease,82,0
2021-07-12,Arunachal Pradesh,Acute Diarrhoeal Disease,4,0
2022-05-23,Arunachal Pradesh,Acute Diarrhoeal Disease,37,0
2022-06-27,Arunachal Pradesh,Acute Diarrhoeal Disease,20,0
2022-10-24,Arunachal Pradesh,Acute Diarrhoeal Disease,116,0
2023-07-24,Arunachal Pradesh,Acute Diarrhoeal Disease,132,0
2023-09-04,Arunachal Pradesh,Acute Diarrhoeal Disease,94,0
2023-10-09,Arunachal Pradesh,Acute Diarrhoeal Disease,13,0
2025-05-05,Arunachal Pradesh,Acute Diarrhoeal Disease,6,0
2025-07-07,Arunachal Pradesh,Acute Diarrhoeal Disease,27,0
2014-07-21,Arunachal Pradesh,Acute Encephalitis Syndrome,5,3
2015-07-06,Arunachal Pradesh,Acute Encephalitis Syndrome,1,0
2015-08-10,Arunachal Pradesh,Acute Encephalitis Syndrome,11,1
2015-09-14,Arunachal Pradesh,Acute Encephalitis Syndrome,33,0
2018-08-13,Arunachal Pradesh,Acute Encephalitis Syndrome,1,0
2018-09-03,Arunachal Pradesh,Acute Encephalitis Syndrome,5,0
2019-07-15,Arunachal Pradesh,Acute Encephalitis Syndrome,37,0
2019-07-22,Arunachal Pradesh,Acute Encephalitis Syndrome,6,2
2019-08-05,Arunachal Pradesh,Acute Encephalitis Syndrome,10,0
2019-08-19,Arunachal Pradesh,Acute Encephalitis Syndrome,12,2
2015-12-21,Arunachal Pradesh,Acute Febrile Illness,64,0
2019-06-24,Arunachal Pradesh,Acute Febrile Illness,29,0
2014-02-10,Arunachal Pradesh,Chickenpox,22,0
2015-03-09,Arunachal Pradesh,Chickenpox,8,0
2015-10-12,Arunachal Pradesh,Chickenpox,24,0
2016-01-04,Arunachal Pradesh,Chickenpox,25,0
2016-04-25,Arunachal Pradesh,Chickenpox,24,0
2016-08-15,Arunachal Pradesh,Chickenpox,18,0
2016-08-29,Arunachal Pradesh,Chickenpox,8,0
2018-12-10,Arunachal Pradesh,Chickenpox,34,0
2019-01-14,Arunachal Pradesh,Chickenpox,9,0
2019-03-18,Arunachal Pradesh,Chickenpox,5,0
2019-04-01,Arunachal Pradesh,Chickenpox,5,0
2019-04-29,Arunachal Pradesh,Chickenpox,6,0
2019-07-08,Arunachal Pradesh,Chickenpox,12,0
2019-11-25,Arunachal Pradesh,Chickenpox,21,0
2019-12-02,Arunachal Pradesh,Chickenpox,25,0
2020-02-10,Arunachal Pradesh,Chickenpox,8,0
2021-10-25,Arunachal Pradesh,Chickenpox,12,0
2023-06-19,Arunachal Pradesh,Chickenpox,17,0
2023-07-03,Arunachal Pradesh,Chickenpox,11,0
2023-07-17,Arunachal Pradesh,Chickenpox,40,0
2024-02-19,Arunachal Pradesh,Chickenpox,29,0
2024-11-25,Arunachal Pradesh,Chickenpox,23,0
2025-05-12,Arunachal Pradesh,Chickenpox,12,0
2015-08-24,Arunachal Pradesh,Chikungunya,38,0
2019-07-15,Arunachal Pradesh,Chikungunya,21,0
2019-08-12,Arunachal Pradesh,Chikungunya,83,0
2019-08-19,Arunachal Pradesh,Chikungunya,77,0
2024-04-08,Arunachal Pradesh,Cholera,47,1
